refinement_id,lane,predecessor,added_predicate_or_rule,derivation,status_before,status_after,raw_survivors_before,raw_survivors_after,canonical_survivors_before,canonical_survivors_after,families_killed,proof_status,source_scope,notes
freshthird-overlap-v5,OTHER-R221-FRESHTHIRD,all-large-caps-v4,cap overlap bound,SOURCE-DERIVED FINITE RELAXATION,SAT,SAT,1,1,UNKNOWN,UNKNOWN,not measurable from one retained witness,independent SAT replay,n=17 relaxation,Still omits load-bearing FreshThird predicates and is unrelated to the live large packet.
ex17-v24t-model-cuts,R221-EX17,v23t seeds3601..3609,nine assignment-specific model cuts,DIAGNOSTIC,SAT,SAT,9,18,9,at least 18 distinct retained seeds,only the nine exact prior assignments,no Boolean UNSAT,exact 17 only,"Complete linear oracle rejected successor models, but the Boolean formula remained SAT."
ex17-dihedral-certificate-bank,R221-EX17,v24t/v25t,"60 exact certificates and 2,040 dihedral images",DERIVED_FROM_LEAN,SAT_BOOLEAN/UNSAT_LINEAR,ITERATION_LIMIT,18,32,at least 18,NOT ESTABLISHED,certificate-matching exact assignments only,certificate clauses checked; no coverage proof,exact 17 fixed order/cells,No cardinality-independent occurrence theorem.
ex17-two-kalmanson-piqd,R221-EX17,source-frozen root,"130,291 pair-closure clauses from 5,994 cancelling pairs",DERIVED_FROM_LEAN,SAT,SAT,1,1,1,1,current cancelling-pair matches; successor uses 738 new disjoint pairs,CERT-001 structural replay; proof endpoint not called,exact 17 fixed CNF root,Strong diagnostic churn without Boolean closure.
ex17-child41-mine,R221-EX17,authenticated child41 SAT,mine two-Kalmanson occurrence supports,DIAGNOSTIC,SAT,SAT,1,1,1,1,none (mining only),1282 records -> 433 supports -> 133 minimal,one exact-17 selected cell,Not an exhaustive motif census.
ex17-child43-mine,R221-EX17,authenticated child43 SAT,mine two-Kalmanson occurrence supports,DIAGNOSTIC,SAT,SAT,1,1,1,1,none (mining only),155 records -> 100 supports -> 57 minimal,one exact-17 selected cell,Not an exhaustive motif census.
ex17-child44-mine,R221-EX17,authenticated child44 SAT,mine two-Kalmanson occurrence supports,DIAGNOSTIC,SAT,SAT,1,1,1,1,none (mining only),500 records -> 212 supports -> 99 minimal,one exact-17 selected cell,Not an exhaustive motif census.
exact12-v4-direct-wave,R221-EX12/A5,exact12 ordered base,per-model CEGAR row/order cuts across 12 cells,MIXED SOURCE/DIAGNOSTIC,SAT,ITERATION_LIMIT_OR_STRUCTURALLY_UNRESOLVED,UNKNOWN,6896,UNKNOWN,UNKNOWN,not reconstructible from retained aggregate,no UNSAT cell,exact12 named cells,Timeout/limit is not UNSAT.
a5-v17-fixed-missing-incidence,R221-EX12/A5,"fixed xu/w,(jd,v)=(0,2),d=8 cell",five live source clauses for the distinguished missing incidence,SOURCE-DERIVED FOR FIXED CELL,SAT/OPEN,UNSAT,UNKNOWN,0,UNKNOWN,0,only the fixed selector cell,"fresh DRAT verified; 472-clause core; 4,362 resolution steps",fixed exact12/A5 selector,Five hard clauses force 9 in row 8 and 9 not in row 8; other selectors remain open.
exact12-v26-projection,R221-EX12/A5,v24/v25 projected cubes,v26 projection and orientation test,DIAGNOSTIC,SAT,SAT_SAMPLING_LIMIT,24,300,24,300,no aggregate family extinction; 0/300 orientation-coverable,empirical sample,exact12 finite projection,Counts 68 -> 24 -> at least 300 across versions are not a monotone exhaustive census.
