control_known_base_sat: z3=sat,cvc5=sat; validators z3=pass,cvc5=pass
control_allowed_db_cp_alias_sat: z3=sat,cvc5=sat; validators z3=pass,cvc5=pass
control_deleted_in_B4_unsat: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
control_b0_unlinked_unsat: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
control_B3_card_three_unsat: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_first_qsource_radius_ingress: z3=sat,cvc5=sat; validators z3=pass,cvc5=pass
main_first_qsource_radius_force_explicit_overlap_ge_three: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_first_qsource_radius_force_both_outside_hits_and_pair_hit: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_first_qsource_radius_force_cap_center_two_outside_hits: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_first_qsource_rho_ingress: z3=sat,cvc5=sat; validators z3=pass,cvc5=pass
main_first_qsource_rho_force_explicit_overlap_ge_three: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_first_qsource_rho_force_both_outside_hits_and_pair_hit: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_first_qsource_rho_force_cap_center_two_outside_hits: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_first_qother_radius_ingress: z3=sat,cvc5=sat; validators z3=pass,cvc5=pass
main_first_qother_radius_force_explicit_overlap_ge_three: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_first_qother_radius_force_both_outside_hits_and_pair_hit: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_first_qother_radius_force_cap_center_two_outside_hits: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_first_qother_rho_ingress: z3=sat,cvc5=sat; validators z3=pass,cvc5=pass
main_first_qother_rho_force_explicit_overlap_ge_three: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_first_qother_rho_force_both_outside_hits_and_pair_hit: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_first_qother_rho_force_cap_center_two_outside_hits: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_second_qsource_radius_ingress: z3=sat,cvc5=sat; validators z3=pass,cvc5=pass
main_second_qsource_radius_force_explicit_overlap_ge_three: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_second_qsource_radius_force_both_outside_hits_and_pair_hit: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_second_qsource_radius_force_cap_center_two_outside_hits: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_second_qsource_rho_ingress: z3=sat,cvc5=sat; validators z3=pass,cvc5=pass
main_second_qsource_rho_force_explicit_overlap_ge_three: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_second_qsource_rho_force_both_outside_hits_and_pair_hit: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_second_qsource_rho_force_cap_center_two_outside_hits: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_second_qother_radius_ingress: z3=sat,cvc5=sat; validators z3=pass,cvc5=pass
main_second_qother_radius_force_explicit_overlap_ge_three: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_second_qother_radius_force_both_outside_hits_and_pair_hit: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_second_qother_radius_force_cap_center_two_outside_hits: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_second_qother_rho_ingress: z3=sat,cvc5=sat; validators z3=pass,cvc5=pass
main_second_qother_rho_force_explicit_overlap_ge_three: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_second_qother_rho_force_both_outside_hits_and_pair_hit: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
main_second_qother_rho_force_cap_center_two_outside_hits: z3=unsat,cvc5=unsat; validators z3=-,cvc5=-
