layer,cell,status,exact_evidence,claim_boundary
prior-seed,single-row-manual-wedge,ROW_CORE_POSITIVE_CONTROL,"exact row core; MEC boundary is exactly {v,xv}","source status SOURCE_INVALID: the manual wedge is not a source S0 model because SurplusCapPacket.hCirc is impossible"
prior-seed,known-coupled-row-extension,ROW_CORE_POSITIVE_CONTROL,"both complete four-fibers and both modeled post-deletion multiplicity bounds replay exactly; same two-point MEC boundary","source status SOURCE_INVALID: the second row causes no row-core contradiction but actual cap J is unavailable"
L1,fixed-12-role-true-cap-S0-I,UNSAT_FIXED_CELL_EXACT,"independent exact MEC replay; first packet failure TC-02; minimized conditional core TC-03","one fixed coordinate cell only"
L1,fixed-12-role-true-cap-S0-N,UNSAT_FIXED_CELL_EXACT,"independent exact MEC replay; first packet failure TC-02; minimized conditional core TC-03","one fixed coordinate cell only"
L1,bounded-coordinate-preserving-repair-grid,ENCODING_BLOCKED,"exact finite grid exhausted; zero non-obtuse MEC triples containing O","unrestricted additions and coordinate deformations remain open"
L1,m0-distinct-s0-i-fixed-order,UNKNOWN_TIMEOUT,"prior governed Z3/cvc5 run returned no accepted verdict","one experimental fixed order only"
L1,m0-distinct-s0-n-fixed-order,UNKNOWN_TIMEOUT,"prior governed Z3/cvc5 run returned no accepted verdict","one experimental fixed order only"
L1,S0-I,SAT_EXACT_L1_CAP_TWO_ROW_CORE,"exact 13-role true-cap witness; cap cards (5,4,7); source cap J and both four-fibers replay independently","finite L1 cap/two-row core only; no CounterexampleData or theorem counterexample"
L1,S0-N,SAT_EXACT_L1_CAP_TWO_ROW_CORE,"exact 12-role true-cap witness; cap cards (5,3,7); source cap J and both four-fibers replay independently","finite L1 cap/two-row core only; no CounterexampleData or theorem counterexample"
L2,S0-I,SAT_EXACT_L2_SOURCE_CONTEXT_GEOMETRIC_CORE,"exact 16-role first-apex extension; cap cards (5,7,7); first fiber and modeled blocker geometry replay independently","finite geometry only; no instantiated Lean SourceContext, CriticalShellSystem, or CounterexampleData"
L2,S0-N,SAT_EXACT_L2_SOURCE_CONTEXT_GEOMETRIC_CORE,"exact 15-role first-apex extension; cap cards (5,6,7); first fiber and modeled blocker geometry replay independently","finite geometry only; no instantiated Lean SourceContext, CriticalShellSystem, or CounterexampleData"
L3,S0-I,SAT_EXACT_L3_FIELD_LEVEL_GEOMETRIC_PACKET,"exact 19-role extension; cap cards (5,10,7); delta four-fiber and all named finite packet geometry replay independently","finite field-level geometry only; typed Lean packets, total CriticalShellSystem, D.K4, D.Minimal, and theorem claim remain absent"
L3,S0-N,SAT_EXACT_L3_FIELD_LEVEL_GEOMETRIC_PACKET,"exact 18-role extension; cap cards (8,6,7); delta four-fiber and all named finite packet geometry replay independently","finite field-level geometry only; typed Lean packets, total CriticalShellSystem, D.K4, D.Minimal, and theorem claim remain absent"
TOTAL-H,S0-I,SAT_EXACT_TOTAL_CRITICAL_SHELL_SYSTEM_GEOMETRIC_MODEL,"exact 28-role extension; seven disjoint complete four-fibers partition the carrier; all 28 modeled shellAt/no_qfree assignments replay independently","finite total-system geometry only; exactly 8 of 28 carrier centers satisfy K4, so no CounterexampleData, D.K4, D.Minimal, or theorem claim"
SOURCE,S0-FAITHFUL-ESCAPE,CONDITIONAL_RESIDUAL,"FaithfulCarrierPattern named seed has raw sharp envelope |B|<=20; compatible oppApex1 center aliases give |B|<=15-|Ku intersect Kv|","B=A is a bounded all-center K4 endpoint; B proper yields only a in B and fresh z outside B, with no unforced center or cross-incidence exclusions"
CEGAR,S0-N-B=A-3-signatures,SCOPED_CANDIDATES_UNSAT_FIXED_BA_CEGAR_WAVE,"three structurally valid support signatures; three 570-assertion relaxed incidence/order QF_NRA formulas returned cvc5 UNSAT","exact-signature enumeration blocks only; no retained MEC/cap/J geometry, exhaustive coverage, bounded UNSAT, typed FaithfulCarrierPattern, or theorem claim"
