predicate_id,formal_or_code_location,plain_mathematical_statement,encoded_direction,current_Lean_field_or_theorem,Lean_producer_path,status,soundness_notes,used_in_runs
source_identity,Rigid221SourceHeavy.lean:71-104,"The selected source, u, v, xu, xv, and deleted point retain their semantic identities.",Exact in Lean; only selected finite lanes fix all labels.,P.source; packet.xu; packet.xv; packet.physical_class,exactFourRigid221_sourceEqU_blockerVRowOther_sourceHeavyPacket,MISSING_FROM_ENCODING,EX17 fixes canonical labels but retained analyses omit the complete source provenance; EX12/n16 labels are diagnostic.,EX17 partial; EX12/n16 relaxed
actual_blocker_provenance,"Rigid221SourceHeavy.lean:96-101,3570-3577","Each named transition uses the actual centerAt blocker, including blocker(xv)=v.",Lean implies named equalities; generic finite blocker maps do not establish centerAt provenance.,packet.blocker_eq_xv; Q.hblockerEqV,large residual constructor chain,WEAKER_THAN_LEAN,EX12/n16 maps are complete combinatorial maps but are not tied to every Lean source; EX17 analyses retain no map.,EX12 model; n16 probe; absent from retained EX17 analyses
canonical_row_identity,"BlockerVExactSeventeenSourceNormalForm.lean:27-65,269-290",The four old rows and fifth row use the canonical Fin 17 labels and exact supports.,Lean SourceRealization supplies the finite row identities used by the EX17 exporter.,oldCenter; SourceRealization.row_eq,exists_exactSeventeenSourceRealization_of_secondCapNine,DERIVED_FROM_LEAN,Finite and definitionally n=17; no ≥18 lift.,EX17 source-faithful waves
radius_equality_classes,CriticalShell/CriticalPairFrontier fields upstream,Selected rows come from the required common-radius classes.,No retained Boolean assignment or model artifact records the full equal-radius relation.,P.rho and selectedAt/centerAt upstream invariants,CounterexampleData -> CriticalPairFrontier -> residual context,MISSING_FROM_ENCODING,Kalmanson row rejection is not a substitute for source radius identity.,omitted in n16/EX12; not retained in EX17 models
physical_class_exact_five,"Rigid221SourceHeavy.lean:91-95,3553-3556","The selected physical radius class is exactly {deleted,u,xu,v,xv}.",Lean exact set equality; EX12/n16 encode selected five-point sets only in relaxations.,packet.physical_class; Q.hclassFive,rigid 2+2+1 globalDeletion producer,WEAKER_THAN_LEAN,Finite membership alone lacks source/radius provenance.,n16; EX12; EX17 canonical labels
cap_location,"Rigid221SourceHeavy.lean:99-103,3557-3563","u,xu,xv and the named blocker occupy the prescribed cap interior.",EX17 canonical cap membership is produced by its exact finite adapter; relaxed lanes encode only profiles/sets.,packet.source_pair_interior; Q.hxvInterior; Q.hblockerInterior,source-heavy packet and large residual constructor,DERIVED_FROM_LEAN,Status applies to EX17 source-normal-form labels only; n16/EX12 remain weaker.,EX17; relaxed approximations in EX12/n16
cyclic_order,BlockerVExactSeventeenSourceNormalForm.lean:67-128,The 17 labels occur in one of the two source-forced cyclic orders and orientations.,Lean exact-17 adapter implies the enumerated order; other lanes have no authenticated order.,position; labelAtPosition; SourceRealization.ccw,exact-17 order promotion,DERIVED_FROM_LEAN,Only exact 17; the stored order does not by itself prove strict convexity.,EX17 order cells; absent from n16 and exact12 model.json
row_omissions,Rigid221SourceHeavy.lean:3539-3552,"u,xu,xv are absent from the specified xu/deleted rows.",Large residual gives named non-incidences; exact row tables can encode stronger complete supports.,Q.huNotXuRow; Q.hxvNotXuRow; Q.huNotDeletedRow; Q.hxuNotDeletedRow; Q.hxvNotDeletedRow,large residual constructor,STRONGER_THAN_LEAN,Complete finite support tables add omissions beyond the named Lean fields; UNSAT needs direction audit.,EX17 exact rows; EX12/n16 cube rows
prescribed_deletion,Rigid221SourceHeavy.lean:3545-3552,The jointDeletion point is the prescribed deleted point in the named rows.,Lean retains the dependent jointDeletion witness; EX12/n16 retain only an integer label; EX17 analyses omit it.,P.jointDeletion.deleted; Q.hdeletedXuRow; Q.hvDeletedRow,OriginalUniqueFourResidual -> context P -> Q,WEAKER_THAN_LEAN,A label named deleted is not proof of the dependent deletion provenance.,EX12/n16 labels; absent from EX17 analyses
deletion_survival,OriginalUniqueFourResidual/globalDeletion upstream fields,Every row or critical structure used after deletion survives the prescribed deletion.,Not represented in retained model records.,dependent upstream survival witnesses,globalDeletion and selectedAt construction,MISSING_FROM_ENCODING,An unused point is not thereby removable; arbitrary projection is invalid.,none of the retained model corpus
center_not_in_support,CriticalFourShell validity upstream; finite cube generators,A row center is not one of its own four support points.,Finite row generators enforce it; Lean selected shells provide it upstream.,CriticalFourShell center/support invariants,selectedAt.toCriticalFourShell,DERIVED_FROM_LEAN,"Exact for the generic shell predicate, but does not authenticate which source selected the row.",EX17; EX12; n16
strict_convexity_general_position,BlockerVExactSeventeenSourceNormalForm.lean:269-290 and geometric parent packet,The carrier is strictly convex/in general position with the required orientation signs.,EX17 order is necessary but not sufficient; strict-linear oracle rejects most row shadows.,SourceRealization.convexIndep; SourceRealization.ccw,exact-17 source realization adapter,MISSING_FROM_ENCODING,"8,259 linear contradictions and 21 unknowns are not stored Euclidean models.",external oracle only in EX17; absent in EX12/n16
minimality_and_global_k4,CounterexampleData and CriticalShellSystem upstream,The carrier comes from the minimal P97 counterexample and every required four-point shell/global K4 condition holds.,No audited finite lane carries the full upstream dependent packet.,CounterexampleData; CriticalShellSystem,global theorem assumptions,MISSING_FROM_ENCODING,K4/minimality is not hereditary under arbitrary subsets or deletion.,none in full strength
exact_cardinality_17,BlockerVExactSeventeenSourceNormalForm.lean:269-290,The source carrier has exactly 17 points and is identified with Fin 17.,Exact adapter and CNF both fix n=17.,SourceRealization.card_eq; position embedding,exists_exactSeventeenSourceRealization_of_secondCapNine,EXACT,This is precisely why EX17 data cannot establish the n≥18 leaf.,all EX17 waves
two_kalmanson_cancellation,EX17 theorem-bank clause generators and PIQD receipts,Selected row pairs admit an exact Kalmanson cancellation contradiction for the fixed cyclic order.,Source-entitled certificate clauses reject the current finite assignment when their hypotheses match.,exact-17 weighted/two-Kalmanson certificate ingress,checked theorem-bank clause generator,DERIVED_FROM_LEAN,Per-assignment finite rejection; neither Boolean closure nor a cardinality-independent occurrence theorem.,EX17 v24t onward and PIQD
five_cross_centre_incidences,"Rigid221SourceHeavy.lean:15406,16021,16113",Five named cross-centre incidences feed the existing tetrahedron terminal.,Current large packet does not produce all five; no large CEGAR lane encodes the missing producer.,pentagonOffClassBlocker_fixedPhysicalPair_uDeletion_false_of_tetrahedron_incidences,MISSING,NO_CURRENT_LEAN_PRODUCER,"This is the first load-bearing antecedent, not an empirical consequence of bounded row shadows.",A5 fixed-cell core touches a bounded specialization only
