run_id,lane,source_head,artifact_path,encoding_version,solver_and_version,scope_n,cap_profile,fixed_named_roles,constraint_level,SAT_UNSAT_UNKNOWN_TIMEOUT,raw_model_count,canonical_model_count,proof_or_core_available,seed,timeout,elapsed,input_sha256,output_sha256,notes
r221-large-offclass-incidence-probe-n16,R221-LARGE-RELAXATION,UNKNOWN,scratch/rigid221-blockerv-offclass-probe-20260806/probe.json,offclass-probe-20260806,UNKNOWN,16,"[5,5,9]","[""physical_apex"",""u"",""xu"",""v"",""xv"",""deleted"",""c""]",INCIDENCE_ONLY,SAT,1,1,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,6fb2e97688822afa5590b9f8ba958f81efb9dbb8fa788cb655a3750fd46255ae,Incidence relaxation only; not a Lean-packet or Euclidean model.
firstnonhit-all-large-caps-v4/n17-one-shot-audit-approved,OTHER-R221-FRESHTHIRD,UNKNOWN,scratch/runs/firstnonhit-all-large-caps-v4/n17-one-shot-audit-approved/terminal-receipt.json,freshthird-all-large-caps-v4,CaDiCaL 3.0.0,17,"[6,8,6]",FreshThird roles,INCIDENCE_ONLY,SAT,1,NOT_COMPUTABLE_FROM_RETAINED_ARTIFACT,NO; independent readback audit only,UNKNOWN,manifest timeout_seconds,UNKNOWN,UNKNOWN,d3abcc462ae393275fda9990b4211b51c73f552c8c067a2de419abd8839ab797,"Omitted common-radius identity, aligned-two-delete, no-alternation, and tri-apex-rich predicates; run manifest still says RUNNING."
firstnonhit-overlap-v5/n17-one-shot-audit-approved,OTHER-R221-FRESHTHIRD,UNKNOWN,scratch/runs/firstnonhit-overlap-v5/n17-one-shot-audit-approved/terminal-receipt.json,freshthird-overlap-v5,CaDiCaL 3.0.0,17,"[6,8,6]",FreshThird roles,INCIDENCE_ONLY,SAT,1,NOT_COMPUTABLE_FROM_RETAINED_ARTIFACT,NO; independent readback audit only,UNKNOWN,manifest timeout_seconds,UNKNOWN,UNKNOWN,5beae580e3c6363cfd1c60a7719539c0039391ba361974e1e173dd68d3210783,Overlap refinement; source_total=false and no lift.
offclass-exact16-full-kalmanson-14-cells,R221-EX16-DIAGNOSTIC,UNKNOWN,scratch/rigid221-blockerv-offclass-exact16-probe-20260806/,"full-kalmanson-o{0,1}-i{9..15}",exact linear oracle; version unaudited,16,"[9,""insertion 9..15""]",named cap roles fixed,INCIDENCE_PLUS_ORDER,UNSAT,17640,NO FULL MODELS RETAINED,summary examples only,NONE,UNKNOWN,UNKNOWN,UNKNOWN,DIRECTORY_NOT_HASHED; see evidence_manifest.csv,"14 cells x 1,260 rejected row assignments; aggregate finite diagnostic, not a large-packet theorem."
ex17-v23t-seeds-3601-3609,R221-EX17,UNKNOWN,scratch/rigid221-blockerv-exact17-20260806/,source-faithful-cap9-v23t,CaDiCaL; exact version in run logs,17,"[9,8]",Fin 17 source-normal-form labels,SOURCE_FAITHFUL_FINITE,SAT,9,9,NO,3601..3609,UNKNOWN,UNKNOWN,UNKNOWN,DIRECTORY_NOT_HASHED; see evidence_manifest.csv,Nine distinct Boolean survivors; cardinality is definitionally fixed to 17.
ex17-v24t-v25t-seeds-3801-3818,R221-EX17,UNKNOWN,scratch/rigid221-blockerv-exact17-20260806/,v24t-model-cuts+v25t,CaDiCaL + exact strict-linear oracle,17,"[9,8]",Fin 17 source-normal-form labels,SOURCE_FAITHFUL_FINITE,SAT_BOOLEAN;UNSAT_LINEAR,18,18 retained seeds; orbit census unavailable,exact source certificates accumulated later,3801..3818,UNKNOWN,UNKNOWN,UNKNOWN,DIRECTORY_NOT_HASHED; see evidence_manifest.csv,Every Boolean model rejected by complete strict-linear oracle; Boolean CNF itself remains SAT.
ex17-source-frozen-seeds-3819-3850,R221-EX17,UNKNOWN,scratch/rigid221-blockerv-exact17-20260806/,source-frozen-dihedral-bank,CaDiCaL + exact strict-linear oracle,17,"[9,8]",Fin 17 source-normal-form labels,SOURCE_FAITHFUL_FINITE,ITERATION_LIMIT,32,NOT ESTABLISHED,"60 exact certificates; 2,040 dihedral clauses",3819..3850,iteration cap,UNKNOWN,UNKNOWN,DIRECTORY_NOT_HASHED; see evidence_manifest.csv,Each continuation model remained Boolean SAT and linear UNSAT; no exhaustive closure.
ex17-order0-28-placement-core-bank-audit,R221-EX17,UNKNOWN,scratch/rigid221-blockerv-exact17-20260806/SOURCE-FAITHFUL-CORE-BANK-AUDIT-2026-08-07.md,source-faithful-order0-all-placement,CaDiCaL + strict-linear oracle,17,"[9,8]",28 anonymous placements,SOURCE_FAITHFUL_FINITE,SAT_BOOLEAN;UNSAT_OR_UNKNOWN_LINEAR,8280,NOT RETAINED/NOT COMPUTABLE,"5,999 bank hits; 2,260 misses in dated audit",multiple,7 cells hit 500-model cap,UNKNOWN,UNKNOWN,13c49e922bd09c47a86162a7afafe6ad8736c511b0574fee4ea52a5548dfe5af,"8,259 strict-linear contradictions and 21 metric unknown; stored analyses are shadows, not complete assignments."
ex17-current-root-two-kalmanson-piqd,R221-EX17,UNKNOWN,scratch/runs/exact17-two-triple-row-piqd/current-root-v2/,two-kalmanson-piqd-current-root,piqd/piqc; pinned in receipt,17,"[9,8]",Fin 17 source-normal-form labels,SOURCE_FAITHFUL_FINITE,SAT,1,1,CERT-001 structural replay; proof endpoint not called,job 33126…,UNKNOWN,UNKNOWN,UNKNOWN,DIRECTORY_NOT_HASHED; see evidence_manifest.csv,STRUCTURAL_SAT; closure/source entitlement/universal lift all false.
ex17-child32,R221-EX17,UNKNOWN,scratch/exact17-lean-to-sat/piqd-child32-core1-status-terminal-quarantined.json,two-kalmanson-child32,piqd/piqc,17,"[9,8]",one selected order/cell,SOURCE_FAITHFUL_FINITE,UNKNOWN,0,0,NO,child32,terminal quarantined,UNKNOWN,UNKNOWN,b1718be45b0f59ff9a29418f79b03b0933460f95814ca416a648d4c5d73ac28d,Kept distinct from authenticated SAT children 33--44.
